Fichier;Lien_SharePoint
ENFJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ENFJ.png
ENFP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ENFP.png
ENTJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ENTJ.png
ENTP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ENTP.png
ESFJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ESFJ.png
ESFP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ESFP.png
ESTJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ESTJ.png
ESTP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ESTP.png
INFJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/INFJ.png
INFP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/INFP.png
INTJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/INTJ.png
INTP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/INTP.png
ISFJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ISFJ.png
ISFP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ISFP.png
ISTJ;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ISTJ.png
ISTP;https://olympiquedemarseille.sharepoint.com/sites/CentredeFormation/Sportif/Forms/AllItems.aspx?id=%2Fsites%2FCentredeFormation%2FSportif%2FDirection%20Performance%2FPOWERBI%20Sebastien%2FIMAGES%2FAXEL&viewid=913a7c37%2Dc434%2D4b6d%2D9084%2D700a482e4654/ISTP.png
